time,open,high,low,close
1575635400,7366.58,7388.09,7356.96,7368.34
1575637200,7367.92,7379.82,7353,7374.64
1575639000,7374.64,7377.89,7341.47,7352.26
1575640800,7352.18,7398,7348.89,7380.38
1575642600,7380.38,7389.08,7367.58,7381.55
1575644400,7381.61,7429.4,7375.39,7420
1575646200,7420,7424.97,7352.01,7375.1
1575648000,7375.11,7400,7372.92,7386.71
1575649800,7387.13,7420,7386.21,7405.06
1575651600,7404.99,7424.53,7390.49,7416.91
1575653400,7415.93,7590.03,7403.3,7477
1575655200,7475.97,7513.44,7391.03,7432.99
1575657000,7433.13,7453.87,7430.62,7440.41
1575658800,7440.01,7447.94,7410.67,7431.51
1575660600,7431.51,7446.59,7420,7433.09
1575662400,7433.09,7444.98,7421.08,7428.48
1575664200,7428.48,7435,7425,7425.99
1575666000,7426.66,7471.99,7425.83,7469.33
1575667800,7468.68,7481.6,7427.6,7456.82
1575669600,7456.78,7502,7456.57,7497.92
1575671400,7496.65,7530,7483,7506.62
1575673200,7506.62,7550,7460,7492.47
1575675000,7492.92,7545.55,7492.92,7527.47
1575676800,7527.8,7554.63,7500,7529.68
1575678600,7529.67,7530.95,7504.85,7522
1575680400,7521.74,7535.42,7513.06,7520.49
1575682200,7520.49,7523.89,7506.05,7510.33
1575684000,7510.17,7534.91,7508.81,7532.46
1575685800,7532.13,7566.32,7525.04,7560.97
1575687600,7560.97,7562.16,7534.62,7551
1575689400,7550.99,7554.99,7511.41,7529.74
1575691200,7528.62,7561,7527.07,7551.95
1575693000,7550.46,7619.62,7550,7561.13
1575694800,7560.37,7567.99,7533.33,7556.12
1575696600,7557.6,7578,7550,7559.01
1575698400,7559.06,7559.69,7530,7537.24
1575700200,7537.24,7544.09,7523.68,7529.99
1575702000,7528.62,7530,7508.88,7519.99
1575703800,7519.25,7534.97,7510.1,7521.48
1575705600,7521.36,7549.71,7512,7514.93
1575707400,7514.41,7517.28,7475.02,7501.38
1575709200,7501.38,7510.01,7487.34,7498.7
1575711000,7499.69,7533,7491.34,7494.67
1575712800,7494.11,7502.75,7470.16,7501.97
1575714600,7501.45,7532.02,7485.35,7512.34
1575716400,7513.7,7539.9,7510.04,7528.77
1575718200,7528.62,7533.27,7510.89,7524.98
1575720000,7523.68,7551.8,7523.68,7535.57
1575721800,7534.29,7547,7512.35,7512.35
1575723600,7515.3,7523.42,7498.03,7522
1575725400,7522,7533.87,7511.9,7517.14
1575727200,7517.14,7531.74,7505,7525.93
1575729000,7528.06,7549.91,7520.86,7529.19
1575730800,7529.16,7541.16,7516.59,7520.94
1575732600,7521.69,7528.67,7502.22,7510.07
1575734400,7510,7530,7496,7520.81
1575736200,7520.6,7521.97,7505.6,7508.56
1575738000,7508.6,7520.89,7502.74,7506.73
1575739800,7507.34,7517.96,7500.2,7508.78
1575741600,7508.42,7519,7502.4,7509.99
1575743400,7510.22,7512,7480,7489.97
1575745200,7489.63,7518.01,7476,7503.81
1575747000,7504.19,7527.89,7500.38,7520
1575748800,7520,7520.46,7497.49,7505.59
1575750600,7505.35,7514.81,7495.66,7502.86
1575752400,7503.52,7504.99,7486.4,7499.96
1575754200,7499.16,7500,7472.01,7484.29
1575756000,7483.45,7514,7480,7500.66
1575757800,7500.09,7519.75,7500.09,7519.75
1575759600,7519.75,7522.99,7487.67,7506.89
1575761400,7506.89,7512.33,7484.33,7488.21
1575763200,7487.31,7499.75,7477,7490.3
1575765000,7491.61,7493.57,7430,7474.35
1575766800,7474.27,7475.05,7412.19,7423.54
1575768600,7423.54,7445.1,7416.17,7435
1575770400,7434.98,7435,7374.86,7395.46
1575772200,7394.86,7410.93,7386.08,7409.13
1575774000,7408.32,7409.99,7390,7390.07
1575775800,7390.59,7408.22,7382,7403.91
1575777600,7404.99,7404.99,7382.33,7398.44
1575779400,7397.37,7430,7391.75,7417.99
1575781200,7417.99,7434.9,7417.99,7423.9
1575783000,7423.74,7426,7409.98,7421.96
1575784800,7422.26,7448.06,7418.51,7436.57
1575786600,7436.87,7447.56,7429,7444.33
1575788400,7444.33,7453.99,7433.09,7445
1575790200,7445,7452.88,7427.03,7434.63
1575792000,7434.63,7442.06,7411.91,7423.02
1575793800,7423.57,7441,7420.03,7437.45
1575795600,7437.38,7497.88,7433.89,7477.65
1575797400,7479.07,7497.18,7450,7486.21
1575799200,7486.15,7502.28,7466.29,7488.07
1575801000,7487.21,7498,7480,7486.67
1575802800,7486.66,7542.16,7486.64,7513.3
1575804600,7514.51,7526.93,7504,7520.03
1575806400,7520.03,7525,7488.2,7514.93
1575808200,7514.91,7515.98,7491.91,7496.02
1575810000,7496.5,7522.24,7496.02,7515.64
1575811800,7515.01,7531.25,7509.68,7513.67
1575813600,7513.57,7522,7503.15,7511.17
1575815400,7511.17,7519,7506.58,7512.85
1575817200,7513.35,7564,7511.68,7536.12
1575819000,7535.44,7546,7525.1,7546
1575820800,7546,7552.77,7502.6,7508.42
1575822600,7508.32,7520.37,7503.01,7509.98
1575824400,7509.36,7520,7506.44,7517
1575826200,7517,7528.58,7516.53,7525.71
1575828000,7526.21,7547.54,7524.85,7537.17
1575829800,7537.19,7547.49,7514.11,7518.05
1575831600,7517.52,7525,7503,7509.62
1575833400,7509.61,7521.95,7505,7515.99
1575835200,7516.31,7521.11,7505,7517.1
1575837000,7516.84,7528,7508.54,7523
1575838800,7523.02,7537,7520.22,7524.27
1575840600,7524.83,7542,7524.27,7528.43
1575842400,7527.11,7532.26,7513.02,7523.34
1575844200,7524.17,7540.85,7523.32,7537.24
1575846000,7538.54,7552,7509.36,7509.36
1575847800,7509.36,7523.12,7505.81,7510.11
1575849600,7510.11,7524.97,7506.5,7524.97
1575851400,7523.73,7541.9,7519.85,7519.85
1575853200,7519.88,7523.44,7511.02,7513.14
1575855000,7513.14,7520,7465,7481.44
1575856800,7479.46,7493.04,7465.71,7477.97
1575858600,7477.64,7500.12,7451,7496.09
1575860400,7496.1,7499.92,7480.17,7486.39
1575862200,7486.41,7521.83,7485.74,7510.32
1575864000,7510.93,7531.87,7501.34,7515.03
1575865800,7514.99,7526.75,7490,7498.06
1575867600,7498.67,7518.41,7493.91,7516
1575869400,7515.84,7518.08,7476.25,7483.61
1575871200,7482.56,7494.55,7467.03,7480.08
1575873000,7479.93,7530,7468,7513.26
1575874800,7512.98,7513.82,7458,7473.96
1575876600,7475.53,7483,7462.39,7470.67
1575878400,7468.36,7472.13,7440.04,7469.82
1575880200,7468.24,7474,7453.81,7461.11
1575882000,7460.15,7474.13,7460.1,7467.63
1575883800,7468.73,7471.65,7455.01,7456.74
1575885600,7456.74,7471.98,7446.17,7464.64
1575887400,7464.33,7490,7464.04,7480.15
1575889200,7480.79,7496,7475.1,7486.37
1575891000,7486.78,7487.35,7470,7471.25
1575892800,7471.24,7493.09,7452.07,7487.92
1575894600,7489.14,7509.26,7482.94,7493.33
1575896400,7493.96,7519.55,7492,7512.31
1575898200,7511.69,7522,7495,7496.87
1575900000,7495.76,7527,7495.01,7515.49
1575901800,7515.02,7550,7511.63,7542.02
1575903600,7545.92,7650,7466.8,7493.64
1575905400,7496.49,7496.62,7390,7424
1575907200,7423.91,7450,7401.28,7429
1575909000,7429.04,7437.1,7400,7413.04
1575910800,7413.05,7447.49,7400,7440.55
1575912600,7440.55,7446.61,7426.75,7438.09
1575914400,7438.09,7445.77,7435,7444.55
1575916200,7444.55,7450.54,7439.42,7444.57
1575918000,7443.74,7446.91,7413.81,7430.18
1575919800,7430.04,7434.16,7350,7374.3
1575921600,7374.25,7382.49,7345.69,7347.16
1575923400,7346.33,7348.14,7273,7300.65
1575925200,7302.05,7340,7291.35,7323.79
1575927000,7323.79,7369.23,7320.29,7354.93
1575928800,7352.61,7356.13,7307.24,7329.96
1575930600,7329.36,7347.66,7319.65,7333.25
1575932400,7333.02,7345.24,7323.34,7343.49
1575934200,7343.49,7359.72,7334.99,7338.64
1575936000,7338.64,7341.19,7312.52,7329.49
1575937800,7328.87,7355,7317.24,7343.38
1575939600,7343.4,7407.6,7310.01,7362.96
1575941400,7361.64,7374.55,7341.3,7371.68
1575943200,7372.86,7387.99,7359.07,7373.84
1575945000,7374.22,7385.71,7365,7369.07
1575946800,7368.74,7385.7,7360,7375.54
1575948600,7376.45,7388.86,7373.14,7382.63
1575950400,7383.74,7387.36,7371.45,7385.14
1575952200,7385.15,7399.08,7374.38,7378.53
1575954000,7378.53,7382.23,7354.36,7358.82
1575955800,7358.82,7371.16,7344,7357.83
1575957600,7357.32,7371.8,7345.01,7360.9
1575959400,7360.87,7373.21,7352.94,7359.59
1575961200,7360.27,7366.99,7333.98,7336.52
1575963000,7337.59,7367,7336.52,7351.61
1575964800,7351.17,7353.95,7314.23,7320.14
1575966600,7320.14,7328.3,7288,7307.21
1575968400,7307.21,7336.53,7302.7,7323.39
1575970200,7324.04,7325.1,7296.76,7315.14
1575972000,7314.1,7352,7314.1,7346.8
1575973800,7346.13,7357.27,7332.44,7343.95
1575975600,7342.79,7366.02,7339.59,7358.35
1575977400,7358.35,7368.44,7338.6,7342
1575979200,7341.75,7346.02,7325.02,7338.6
1575981000,7338.6,7355,7338.6,7344.71
1575982800,7344.72,7347.97,7314.21,7332.96
1575984600,7331.8,7333.12,7311.13,7321.14
1575986400,7320.94,7339.98,7296.52,7333.96
1575988200,7333.74,7354,7213,7290.92
1575990000,7290.95,7307.79,7254.83,7281.16
1575991800,7280.66,7283.96,7215,7234.13
1575993600,7236.4,7261.52,7210,7239
1575995400,7239,7246,7215,7232.52
1575997200,7231.5,7249.36,7227.01,7231
1575999000,7231.39,7240,7168.6,7182.35
1576000800,7180.91,7221.53,7157.1,7212
1576002600,7213.83,7229.8,7194.77,7226.35
1576004400,7225.26,7227.06,7203.56,7215.8
1576006200,7215.75,7232.79,7212.63,7231.23
1576008000,7230.95,7231.22,7187.1,7201.59
1576009800,7201.59,7219.58,7185.16,7207.45
1576011600,7207.51,7241.87,7203.19,7231.29
1576013400,7230.75,7236.38,7217.62,7218.9
1576015200,7218.49,7244.82,7218,7235.73
1576017000,7234.59,7248.65,7230.45,7238.45
1576018800,7238.45,7257.34,7235.99,7248.6
1576020600,7249.82,7249.82,7223.52,7224.13
1576022400,7224.15,7244.65,7220.28,7233.7
1576024200,7233.7,7248.64,7232.11,7239.39
1576026000,7239.37,7244.07,7228.36,7240.83
1576027800,7240,7274.4,7236.37,7267.77
1576029600,7267.74,7275.5,7246,7255.61
1576031400,7256.24,7264.1,7242.31,7248.59
1576033200,7246.87,7249.86,7212.32,7215
1576035000,7214.5,7219.41,7190.17,7211.97
1576036800,7213.44,7228.87,7200.01,7221.62
1576038600,7221.89,7224.74,7211.48,7215.88
1576040400,7214.95,7230.21,7212.99,7214.92
1576042200,7215.37,7217.89,7195.57,7195.57
1576044000,7195.9,7214.01,7180,7202.25
1576045800,7202.23,7218,7200.01,7217.89
1576047600,7217.16,7224.98,7205.86,7223.87
1576049400,7224,7227.39,7210.52,7220.12
1576051200,7220.12,7234.3,7220,7223.61
1576053000,7223.11,7232.55,7215.22,7222.3
1576054800,7224.38,7248,7222.44,7239.07
1576056600,7239.38,7249.72,7230.18,7238.28
1576058400,7237.95,7239.98,7202.01,7219.95
1576060200,7218.67,7222.95,7206.5,7222.87
1576062000,7222.81,7245,7219.36,7221.84
1576063800,7222.49,7240,7220.79,7227.36
1576065600,7227.36,7255,7227.36,7241.55
1576067400,7242.56,7267.01,7236.02,7257.04
1576069200,7257.04,7261.32,7219.56,7221.43
1576071000,7222.36,7250.22,7221.15,7240.51
1576072800,7240.73,7253.21,7230,7234.5
1576074600,7233.71,7240,7224,7233.65
1576076400,7233.65,7235.7,7155.55,7178.86
1576078200,7178.89,7195.54,7125.66,7174
1576080000,7174.03,7192,7153.03,7181.14
1576081800,7181.14,7217.5,7180.05,7192.46
1576083600,7192.43,7205.69,7180.49,7185.39
1576085400,7185.38,7204.44,7177.96,7197.9
1576087200,7197.9,7209.85,7184.42,7193.43
1576089000,7193.11,7197.69,7183.44,7188.56
1576090800,7188.12,7214.1,7180,7191.47
1576092600,7190.64,7203.62,7185.44,7200.23
1576094400,7200.69,7205.97,7183.86,7187.48
1576096200,7187.06,7190.8,7170,7171.7
1576098000,7171.72,7186.52,7170.83,7185
1576099800,7185,7200,7183.54,7194.77
1576101600,7193.55,7204.48,7183.1,7196.28
1576103400,7196.29,7204.09,7186.09,7203.89
1576105200,7203.89,7209.78,7198.09,7206.77
1576107000,7206.79,7210,7195.48,7210
1576108800,7210,7295,7151.01,7180.23
1576110600,7180.55,7181.76,7113.38,7145.81
1576112400,7145.95,7154.74,7131.99,7138.11
1576114200,7138.71,7168.11,7080.3,7153.23
1576116000,7154.27,7185.27,7139.26,7177.84
1576117800,7178.41,7183.9,7142.02,7157.38
1576119600,7156.72,7167.44,7151.36,7164.64
1576121400,7164.66,7174.04,7156,7156.03
1576123200,7156.05,7168.02,7151.27,7156.36
1576125000,7156.38,7165,7140,7149.98
1576126800,7149.98,7163.51,7144.31,7157
1576128600,7157.27,7166.85,7156.75,7163.02
1576130400,7163.41,7167.8,7150.02,7157.8
1576132200,7157.37,7177.46,7155.66,7173.14
1576134000,7173.17,7175.37,7156.51,7162.57
1576135800,7162.15,7166,7146.02,7151.05
1576137600,7150.36,7152.17,7115,7123.49
1576139400,7124.2,7142.87,7123.24,7136.01
1576141200,7136.01,7148,7135,7142.15
1576143000,7142.15,7177.45,7141,7164.22
1576144800,7164.47,7217.99,7136.82,7157.06
1576146600,7156.24,7170.35,7153.32,7161.19
1576148400,7160.85,7206.08,7158.81,7190.82
1576150200,7190.53,7196.94,7177.23,7192.93
1576152000,7192.93,7214.99,7192.46,7197.68
1576153800,7197.68,7208,7180.17,7193.46
1576155600,7194,7205,7182.01,7190.63
1576157400,7190.63,7194.08,7174,7192.67
1576159200,7192.67,7222.15,7170,7173.12
1576161000,7174.16,7184.08,7140,7165.52
1576162800,7165.85,7176.32,7151.72,7169.12
1576164600,7169.18,7193.4,7159.39,7191.56
1576166400,7190.98,7206.95,7175.96,7192.94
1576168200,7192.93,7214.45,7191.19,7204.96
1576170000,7204.96,7207,7190.82,7205.12
1576171800,7205.12,7212.26,7195.18,7202.08
1576173600,7203.24,7226.53,7192.84,7224
1576175400,7224,7226.79,7193.47,7216.85
1576177200,7216.87,7225.68,7195.61,7212.23
1576179000,7211.89,7212,7196.14,7204.73
1576180800,7204.75,7220,7200.01,7215
1576182600,7214.93,7255,7210.87,7250.08
1576184400,7250,7261.95,7222.13,7233.58
1576186200,7233.6,7241.1,7195,7206.11
1576188000,7206.11,7212.85,7191.34,7208.04
1576189800,7208.06,7209.34,7186.12,7200.03
1576191600,7200.15,7210,7197.96,7199.44
1576193400,7199.41,7211.78,7192.11,7198.08
1576195200,7197.76,7216.93,7197.23,7208.73
1576197000,7207.82,7211.11,7196.02,7197.66
1576198800,7197.66,7211.08,7190.76,7208.48
1576200600,7208.71,7208.71,7196.75,7204.94
1576202400,7204.16,7218.94,7199.57,7217.36
1576204200,7217.36,7218.98,7205.67,7212.72
1576206000,7213.37,7221.92,7208.42,7218.91
1576207800,7219.78,7236.5,7218.38,7229.1
1576209600,7229.1,7247.62,7225.24,7236.24
1576211400,7236.06,7242.52,7225.05,7227.43
1576213200,7228.69,7228.69,7217.4,7222.15
1576215000,7222.57,7230.6,7221,7227.03
1576216800,7226.96,7229.88,7213.32,7215.45
1576218600,7214.97,7222,7208.01,7217.52
1576220400,7217.51,7241.7,7215.24,7236.37
1576222200,7236.37,7249.81,7230.6,7236.3
1576224000,7235.21,7255,7205.67,7219.61
1576225800,7219.47,7222.06,7207.29,7216.07
1576227600,7216.02,7227.65,7214.61,7220.91
1576229400,7220.74,7230.75,7214,7220.43
1576231200,7220.41,7225.04,7212,7218.79
1576233000,7219.1,7227.2,7215.31,7221.51
1576234800,7221.03,7228.52,7219.08,7225.77
1576236600,7225.77,7237.98,7220.38,7221.9
1576238400,7221.29,7225.18,7208.2,7214.94
1576240200,7214.96,7233.19,7211.73,7231.24
1576242000,7230.04,7239.34,7220.63,7227.19
1576243800,7227.19,7239.5,7227.18,7234.7
1576245600,7235.97,7237.72,7222.03,7232.17
1576247400,7232.17,7235.47,7223.39,7229.96
1576249200,7229.96,7255,7225.28,7248.4
1576251000,7248.4,7268.01,7238,7253.03
1576252800,7253.03,7282.75,7251,7274.55
1576254600,7274.55,7309.05,7263.83,7282.18
